account,date,payee,amount,notes,category
Savings,2025-01-01,Spotify,-19.94,,Subscriptions
Savings,2025-01-01,City Water & Power,-181.89,Monthly utility bill,Utilities
Credit Card,2025-01-03,Internal Transfer,-261.85,Buffer savings transfer,2 Month Buffer
Savings,2025-01-03,Delta Air Lines,-646.70,,Travel
Savings,2025-01-03,Steam,-22.86,Game purchase,Fun Money/Entertainment
Savings,2025-01-03,Red Cross,-64.85,Donation,Gifts/Donations
Checking,2025-01-04,Internal Transfer,-378.45,Buffer savings transfer,2 Month Buffer
Checking,2025-01-04,Internal Transfer,-438.93,Buffer savings transfer,2 Month Buffer
Checking,2025-01-06,Acme Corp Payroll,3107.92,Direct deposit,Income/Paycheck
Checking,2025-01-06,Safeway,-179.95,,Groceries
Credit Card,2025-01-06,Midas Auto Service,-548.59,,Auto Maintenance
Credit Card,2025-01-07,Little Learners Preschool,-168.27,Tuition,Kids/Childcare
Credit Card,2025-01-07,Local Pizza Co,-80.84,,Restaurants
Savings,2025-01-08,Statewide Insurance,-190.88,Auto + home bundle,Insurance
Savings,2025-01-08,Internal Transfer,-361.24,Buffer savings transfer,2 Month Buffer
Checking,2025-01-08,Fiber Internet Co,-127.18,Internet service,Utilities
Savings,2025-01-08,Internal Transfer,-322.16,Buffer savings transfer,2 Month Buffer
Savings,2025-01-09,Bright Smile Dental,-278.39,Cleaning,Medical
Savings,2025-01-09,City Parking Garage,-56.45,Monthly parking,Fuel & Parking
Credit Card,2025-01-11,City Water & Power,-68.53,Monthly utility bill,Utilities
Credit Card,2025-01-12,Fiber Internet Co,-178.84,Internet service,Utilities
Credit Card,2025-01-12,Jiffy Lube,-690.49,Oil change,Auto Maintenance
Credit Card,2025-01-13,Metro Gas Co,-189.42,Monthly utility bill,Utilities
Checking,2025-01-14,Local Bowling Alley,-49.49,,Fun Money/Entertainment
Checking,2025-01-14,Meridian Property Mgmt,-2090.88,Monthly rent,Mortgage/Rent
Credit Card,2025-01-15,Sunshine Daycare,-363.65,Weekly childcare,Kids/Childcare
Credit Card,2025-01-15,Etsy,-36.66,Online order,Spending Money
Checking,2025-01-16,Internal Transfer,-274.53,Buffer savings transfer,2 Month Buffer
Credit Card,2025-01-17,Local Bowling Alley,-147.86,,Fun Money/Entertainment
Savings,2025-01-17,Fiber Internet Co,-256.83,Internet service,Utilities
Credit Card,2025-01-18,Midas Auto Service,-208.86,,Auto Maintenance
Savings,2025-01-19,Etsy,-106.30,Online order,Spending Money
Credit Card,2025-01-19,Internal Transfer,-353.93,Buffer savings transfer,2 Month Buffer
Savings,2025-01-19,Lowe's,-339.20,,Home Improvement
Checking,2025-01-23,Local Food Bank,-184.25,Donation,Gifts/Donations
Savings,2025-01-23,Internal Transfer,-209.76,Transfer between own accounts,Uncategorized
Savings,2025-01-24,Statewide Insurance,-263.04,Auto + home bundle,Insurance
Checking,2025-01-24,Local Bowling Alley,-90.27,,Fun Money/Entertainment
Savings,2025-01-24,Enterprise Rent-A-Car,-126.38,,Travel
Credit Card,2025-01-25,Lowe's,-346.95,,Home Improvement
